VPVS_RATIO,P_IMPEDANCE,PHI
1.7192,13671983.0,0.0912
1.7287,13829892.0,0.0889
1.7371,13888025.0,0.0845
1.7427,13926706.0,0.0816
1.751,13983647.0,0.0773
1.7542,13995197.0,0.073
1.7589,14015818.0,0.0667
1.7594,14017900.0,0.0661
1.7726,14149283.0,0.0645
1.7948,14372645.0,0.0619
1.7949,14410998.0,0.0623
1.7949,14429532.0,0.0625
1.7951,14501302.0,0.0635
1.8063,14649456.0,0.0653
1.8121,14715988.0,0.0662
1.8254,14870567.0,0.0683
1.8245,14862850.0,0.0738
1.8234,14851695.0,0.0809
1.8231,14849031.0,0.0827
1.8026,14643007.0,0.0917
1.7699,14327113.0,0.1066
1.7667,14215846.0,0.1091
1.7637,14109699.0,0.1115
1.7538,13792672.0,0.1194
1.7547,13611539.0,0.1133
1.755,13556326.0,0.1112
1.7561,13344702.0,0.1032
1.7613,13283012.0,0.0965
1.7674,13221158.0,0.0887
1.7699,13195601.0,0.0854
1.768,13165299.0,0.0856
1.7649,13115657.0,0.0858
1.7639,13146485.0,0.0865
1.7619999999999998,13206147.0,0.0879
1.7571,13332554.0,0.0913
1.7537,13420827.0,0.0889
1.7532,13432729.0,0.0885
1.7481,13538707.0,0.0849
1.7372,13506545.0,0.0801
1.7264,13464442.0,0.0753
1.7193,13436965.0,0.0722
1.7235,13449481.0,0.0722
1.7306,13474094.0,0.0722
1.7315,13477394.0,0.0729
1.736,13493234.0,0.0765
1.745,13523416.0,0.0835
1.7541,13483028.0,0.0892
1.7541,13482949.0,0.0892
1.7690000000000001,13403996.0,0.0985
1.8133,13706251.0,0.1019
1.8516,13971181.0,0.1047
1.8911,14244130.0,0.1075
1.9972,14288366.0,0.1063
2.174,14390713.0,0.1043
2.1739,14387309.0,0.1042
2.1594,13989940.0,0.1018
2.137,13398924.0,0.0976
2.0609,12892842.0,0.0973
2.0465,12797175.0,0.0972
1.9142,11934663.0,0.0965
1.9054,11814847.0,0.0968
1.8998,11741449.0,0.09699999999999999
1.8915,11634091.0,0.0973
1.848,11371872.0,0.0951
1.7872,10981061.0,0.0918
1.7809,10941043.0,0.0914
1.8082,11046959.0,0.0862
1.8543,11156234.0,0.0775
1.8638,11193603.0,0.0747
1.8685,11212363.0,0.0733
1.8924,11246106.0,0.0664
1.8555,11318877.0,0.0658
